dataset,score
gpt_sovits.tar.gz,4.142383825778961
melotts.tar.gz,4.535006537437439
metavoice.tar.gz,3.425796136856079
openvoice.tar.gz,4.593990921974182
openvoice_v2.tar.gz,4.787417301023849
parler.tar.gz,4.161514050960541
styletts_2.tar.gz,4.593921919258273
vokan.tar.gz,4.239942244121006
whisper_speech.tar.gz,3.899581904411316
xtts_v2.tar.gz,4.236799502372742
