dataset,score
gpt_sovits.tar.gz,3.800991667881608
melotts.tar.gz,4.01583286922425
metavoice.tar.gz,3.4378048192732966
openvoice.tar.gz,4.108456627130509
openvoice_v2.tar.gz,4.307186283848503
parler.tar.gz,3.968345657335594
styletts_2.tar.gz,4.358536642424914
vokan.tar.gz,3.7370231026517495
whisper_speech.tar.gz,3.7901685833738883
xtts_v2.tar.gz,3.73632054079324
