name,pesq
A,1.0993200824374245
B,1.1600342634178342
C,1.1384886247771127
D,1.1179014373393286
E,1.1658477967693692
F,1.1509467831679754
G,1.1915708382924397
H,1.1954176213060106
I,4.643888473510742
J,1.1101142196428209
K,1.1136965879372187
L,1.2547800512540908
M,1.1295849070662545
N,1.1757328098728543
O,1.1316653901622409
P,1.161466046458199
Q,1.1657134549958366
R,1.1272710831392379
S,1.215624749660492
T,1.113864397718793
V,1.1349746159144811
