benchmark_name,benchmark_category,dataset,score,ci,time_taken
Hubert,1,A,99.99113082885742,11.904982205023384,142.55235528945923
Hubert,1,B,73.64999055862427,10.09715325138588,37.20219445228577
Hubert,1,C,63.49504590034485,7.485351266014689,36.0623574256897
Hubert,1,D,62.86056041717529,7.39586844196129,35.489726066589355
Hubert,1,E,68.8788890838623,7.8515979499128115,34.42234444618225
Hubert,1,F,73.1211006641388,9.61663318091029,34.28353023529053
Hubert,1,G,76.57983899116516,9.57440403183904,33.81392168998718
Hubert,1,H,69.65441703796387,9.87079740522698,36.0666606426239
Hubert,1,I,62.61622905731201,8.094445663688367,35.467954874038696
Hubert,1,J,64.09356594085693,5.304656346183299,35.640652894973755
Hubert,1,K,61.36919856071472,7.688914913538149,36.98279929161072
Hubert,1,L,70.11806964874268,9.071994365033312,34.03620100021362
Hubert,1,M,70.42624354362488,8.605923085489914,35.6024227142334
Hubert,1,N,68.23837161064148,9.200445284914888,34.37152051925659
Hubert,1,O,65.52920937538147,8.869029868974073,35.59592032432556
Hubert,1,P,72.59228229522705,9.491956020997389,34.4842803478241
Hubert,1,Q,74.11370873451233,9.393044162557803,35.20047187805176
Hubert,1,R,70.99704146385193,3.8421848543993136,37.97388982772827
Hubert,1,S,64.54501748085022,8.477892465889205,34.62298274040222
Hubert,1,T,74.46407675743103,4.91999365402099,39.255993366241455
Hubert,1,V,63.05798888206482,7.062889866677999,35.47112321853638
MFCC,1,A,74.015212059021,6.11145582278452,53.96431565284729
MFCC,1,B,46.863171458244324,12.460703832561917,4.438287019729614
MFCC,1,C,60.53849458694458,10.145181948162543,4.086917877197266
MFCC,1,D,61.175668239593506,12.686148133856351,4.439801931381226
MFCC,1,E,59.691184759140015,12.836358088704221,4.360544919967651
MFCC,1,F,54.74696755409241,13.003196434238703,4.21424126625061
MFCC,1,G,52.28174924850464,13.209488158478855,4.257824897766113
MFCC,1,H,47.1375435590744,11.996729285057986,3.960932493209839
MFCC,1,I,60.519593954086304,10.674958230703185,4.101502418518066
MFCC,1,J,60.49742102622986,9.30458198259072,4.364555835723877
MFCC,1,K,59.258872270584106,8.97799614477095,4.470334053039551
MFCC,1,L,49.83958303928375,11.860619957505385,4.021356105804443
MFCC,1,M,57.76265859603882,12.825505398898576,4.025957345962524
MFCC,1,N,49.87282752990723,12.511242407611586,3.98500394821167
MFCC,1,O,61.94291114807129,12.243415145228221,4.535412788391113
MFCC,1,P,53.28517556190491,12.833987714354231,4.071024417877197
MFCC,1,Q,54.475951194763184,13.035684155523523,4.078275203704834
MFCC,1,R,64.55013751983643,7.298240735018158,4.372103691101074
MFCC,1,S,55.57124614715576,11.243057552470722,4.2986743450164795
MFCC,1,T,73.48529100418091,5.881932522168498,4.361806154251099
MFCC,1,V,65.77432751655579,10.098420710105216,4.335727214813232
MPM,2,A,81.02455139160156,13.535204779547547,265.748015165329
MPM,2,B,46.90571427345276,7.118020743945469,14.369714260101318
MPM,2,C,59.40017104148865,8.602200000023188,15.407878398895264
MPM,2,D,52.85080671310425,7.8868274598383765,14.742514848709106
MPM,2,E,50.849151611328125,7.601961641387922,14.637532472610474
MPM,2,F,48.71537387371063,7.266467822296127,14.305747270584106
MPM,2,G,51.17618441581726,7.5049193739849525,13.503902196884155
MPM,2,H,41.31609797477722,6.501542177081903,14.548216819763184
MPM,2,I,47.97512590885162,7.678080108850837,16.531370162963867
MPM,2,J,59.96992588043213,8.676999738094208,17.05297613143921
MPM,2,K,59.74350571632385,8.97449006540669,16.327523469924927
MPM,2,L,45.25419473648071,6.778494426839754,14.269392728805542
MPM,2,M,49.07866418361664,7.683867733144026,15.974887609481812
MPM,2,N,40.43526649475098,6.2089344870748615,14.463040351867676
MPM,2,O,55.39672374725342,7.849271096017435,15.818424224853516
MPM,2,P,48.41446876525879,7.298590090996298,14.763442039489746
MPM,2,Q,51.26350522041321,7.556194815910019,14.29153060913086
MPM,2,R,73.80020022392273,11.462761923120858,17.111865758895874
MPM,2,S,49.13563430309296,7.0601868291269785,15.517492294311523
MPM,2,T,69.0831184387207,11.578653912907635,18.83472776412964
MPM,2,V,56.79734945297241,8.223623911715567,16.75763964653015
Pitch,2,A,100.0,14.647008121673757,83.13522672653198
Pitch,2,B,80.54797053337097,8.895483747503292,3.705482244491577
Pitch,2,C,48.521506786346436,4.497387683311092,4.129143476486206
Pitch,2,D,55.063241720199585,3.535220183734201,3.907228708267212
Pitch,2,E,73.91316294670105,7.158706407304413,3.8984806537628174
Pitch,2,F,77.25473642349243,8.09429960188863,3.8257763385772705
Pitch,2,G,75.2841591835022,7.102630003447636,3.3156673908233643
Pitch,2,H,66.97964668273926,5.506503022346605,3.65399169921875
Pitch,2,I,69.13649439811707,6.327356028764814,4.361886739730835
Pitch,2,J,69.2079246044159,6.350130342281922,4.794780015945435
Pitch,2,K,83.0503523349762,9.761671355706309,4.55536675453186
Pitch,2,L,72.5031852722168,7.152292803869502,3.694575309753418
Pitch,2,M,80.63778877258301,9.244855822252392,4.117751836776733
Pitch,2,N,67.37231612205505,5.6518637254432615,3.7180821895599365
Pitch,2,O,76.89384818077087,8.19683736998532,4.128026247024536
Pitch,2,P,83.01989436149597,9.406765625344375,3.7163703441619873
Pitch,2,Q,79.52106595039368,8.46801153417976,3.5668740272521973
Pitch,2,R,68.58579516410828,5.299907847265372,4.7742650508880615
Pitch,2,S,65.06495475769043,5.327566586599754,4.206143617630005
Pitch,2,T,53.56159806251526,4.641036780583096,5.1682655811309814
Pitch,2,V,72.83037304878235,6.83377196207757,4.621333122253418
WadaSNR,3,A,99.99999403953552,17.468213841875375,32.0247483253479
WadaSNR,3,B,74.58811402320862,15.25514387700468,1.0523669719696045
WadaSNR,3,C,40.978699922561646,4.132322311478993,1.2593739032745361
WadaSNR,3,D,64.10210728645325,8.12455108721097,1.160351276397705
WadaSNR,3,E,56.79892301559448,7.467374337405625,1.1432149410247803
WadaSNR,3,F,62.158119678497314,8.280608879583758,1.1105525493621826
WadaSNR,3,G,71.30571007728577,15.107925506283634,1.0111582279205322
WadaSNR,3,H,42.370691895484924,4.401585748864652,1.0569093227386475
WadaSNR,3,I,51.824480295181274,4.1678320215918045,1.2609412670135498
WadaSNR,3,J,41.17126762866974,4.102673852729848,1.4033188819885254
WadaSNR,3,K,43.26080083847046,4.580946658086652,1.2860398292541504
WadaSNR,3,L,53.4956157207489,3.809585053039598,1.0547235012054443
WadaSNR,3,M,61.58643960952759,7.049388987017561,1.1804304122924805
WadaSNR,3,N,45.24188935756683,5.000534813162832,1.0603737831115723
WadaSNR,3,O,43.866780400276184,4.7240481726523,1.1579279899597168
WadaSNR,3,P,80.77720403671265,15.01001521447081,1.0746636390686035
WadaSNR,3,Q,84.65127944946289,17.089484537720686,1.0818066596984863
WadaSNR,3,R,45.4199880361557,5.052912574547943,1.4748973846435547
WadaSNR,3,S,43.388283252716064,4.621905069500204,1.1629645824432373
WadaSNR,3,T,42.15306341648102,4.375657394729176,1.837256669998169
WadaSNR,3,V,41.62919223308563,4.214357176087109,1.3140311241149902
WeSpeaker,4,A,97.53418564796448,19.752455846648157,227.23908710479736
WeSpeaker,4,B,64.63540196418762,11.158544406631993,11.670368432998657
WeSpeaker,4,C,52.8384268283844,8.343854235039792,14.403355360031128
WeSpeaker,4,D,66.09066128730774,11.161416756636585,12.64128041267395
WeSpeaker,4,E,67.41042137145996,11.22133071071743,11.464498043060303
WeSpeaker,4,F,66.29003882408142,11.210749874710476,10.112689733505249
WeSpeaker,4,G,66.73309206962585,11.432261834653664,9.4453125
WeSpeaker,4,H,62.541818618774414,10.50924068591769,10.042959451675415
WeSpeaker,4,I,31.540167331695557,4.076392565592563,11.056846618652344
WeSpeaker,4,J,68.24352741241455,11.989441695507107,12.040801048278809
WeSpeaker,4,K,69.6474015712738,12.091556182469867,12.07337999343872
WeSpeaker,4,L,68.6581552028656,11.702551281661139,10.578614473342896
WeSpeaker,4,M,66.51880741119385,11.33561065517162,10.617198705673218
WeSpeaker,4,N,52.16262340545654,7.242954853391785,10.83857536315918
WeSpeaker,4,O,69.01065707206726,11.888296581958102,10.369189739227295
WeSpeaker,4,P,63.48991394042969,10.681197752319635,9.783339500427246
WeSpeaker,4,Q,64.96685147285461,10.905245822042717,10.040193557739258
WeSpeaker,4,R,73.71660470962524,12.605739026504882,13.146443605422974
WeSpeaker,4,S,62.02443242073059,9.774288114350389,10.747523784637451
WeSpeaker,4,T,52.99965143203735,7.624278692046267,15.316921710968018
WeSpeaker,4,V,50.91097950935364,7.82717462848522,11.916025161743164
Allosaurus,5,A,98.6538827419281,5.02717350458151,499.4356920719147
Allosaurus,5,B,89.36461806297302,4.817589428141203,25.971540451049805
Allosaurus,5,C,89.40790295600891,2.9285530947038807,29.019076824188232
Allosaurus,5,D,89.23419713973999,2.6023660950229797,27.40037703514099
Allosaurus,5,E,91.93376302719116,4.52836798720558,27.60378670692444
Allosaurus,5,F,91.63336753845215,4.4081492892082705,26.83328127861023
Allosaurus,5,G,89.53176140785217,5.197589469953594,25.400994539260864
Allosaurus,5,H,79.61726784706116,1.191936347963386,26.624096632003784
Allosaurus,5,I,88.2908582687378,2.208234574086191,29.603193283081055
Allosaurus,5,J,89.34663534164429,2.5372147821230517,31.424015998840332
Allosaurus,5,K,78.85324954986572,1.5511423314649784,29.29609489440918
Allosaurus,5,L,86.72780394554138,4.3392051388801125,26.340982675552368
Allosaurus,5,M,89.99772667884827,2.474731779836045,27.936845302581787
Allosaurus,5,N,83.69395732879639,4.1648478895976195,26.501169681549072
Allosaurus,5,O,77.5864839553833,1.1724748054898682,27.599791765213013
Allosaurus,5,P,89.65076804161072,2.865578698790621,26.54682445526123
Allosaurus,5,Q,91.51685237884521,4.436824797519995,26.910882472991943
Allosaurus,5,R,87.01278567314148,2.2095462984734064,31.732531785964966
Allosaurus,5,S,80.01618981361389,2.270436183844728,27.329164266586304
Allosaurus,5,T,89.93227481842041,2.1991151012898555,36.12440776824951
Allosaurus,5,V,88.12821507453918,2.646235905616156,29.08178424835205
VoiceFixer,5,A,98.87663722038269,5.726485208501543,697.2349233627319
VoiceFixer,5,B,82.34022855758667,3.6217415302766383,49.80194044113159
VoiceFixer,5,C,90.75853228569031,4.2476601606826945,49.55534744262695
VoiceFixer,5,D,95.49281001091003,4.302337650200373,50.20655107498169
VoiceFixer,5,E,95.67109942436218,4.707821899042921,49.91526556015015
VoiceFixer,5,F,93.78908276557922,3.7940548086187533,49.728416442871094
VoiceFixer,5,G,96.7870831489563,4.72370805731863,48.19994044303894
VoiceFixer,5,H,90.75502157211304,3.9698237899084847,49.136951208114624
VoiceFixer,5,I,88.09958696365356,3.825862299236231,49.876158714294434
VoiceFixer,5,J,96.41743898391724,5.001979334553685,49.2287392616272
VoiceFixer,5,K,87.34820485115051,3.740920506728075,49.46309280395508
VoiceFixer,5,L,88.86480927467346,4.001197268321035,48.24184536933899
VoiceFixer,5,M,95.7571804523468,4.560690867316409,51.747029304504395
VoiceFixer,5,N,92.95539855957031,3.201591782484741,48.266056537628174
VoiceFixer,5,O,80.65634965896606,3.737905075776803,49.228745460510254
VoiceFixer,5,P,96.01861834526062,4.46487939414019,48.47946381568909
VoiceFixer,5,Q,96.34453058242798,4.77944822095071,49.47836685180664
VoiceFixer,5,R,91.00890755653381,3.171078876349407,49.04916024208069
VoiceFixer,5,S,91.2979245185852,4.92414687658367,49.59737229347229
VoiceFixer,5,T,90.92885851860046,4.319230442553035,49.4518187046051
VoiceFixer,5,V,89.38237428665161,4.139137733905829,49.08396244049072
Wav2Vec2 WER,6,A,100.0,20.988682380006917,191.8183410167694
Wav2Vec2 WER,6,B,93.5945212841034,19.555425036681843,8.137552976608276
Wav2Vec2 WER,6,C,94.53215003013611,20.090985366492003,9.403505563735962
Wav2Vec2 WER,6,D,91.93538427352905,19.775369067917666,9.13931655883789
Wav2Vec2 WER,6,E,95.38403749465942,19.861774459276234,8.677178859710693
Wav2Vec2 WER,6,F,93.38456988334656,19.295820159367665,8.47681212425232
Wav2Vec2 WER,6,G,92.2662615776062,19.79111870312342,7.945504665374756
Wav2Vec2 WER,6,H,93.38456988334656,19.869605756424495,8.123670816421509
Wav2Vec2 WER,6,I,95.08101344108582,20.250582623783277,9.330626964569092
Wav2Vec2 WER,6,J,96.07071876525879,20.22044262236523,10.247763872146606
Wav2Vec2 WER,6,K,94.53215003013611,20.537467075923136,9.522759437561035
Wav2Vec2 WER,6,L,91.6208267211914,19.787906535870466,8.150024890899658
Wav2Vec2 WER,6,M,95.08101344108582,20.334354133381716,8.879740476608276
Wav2Vec2 WER,6,N,92.9872989654541,19.67397356271197,8.227192640304565
Wav2Vec2 WER,6,O,92.9872989654541,19.41127575226707,8.750904321670532
Wav2Vec2 WER,6,P,95.71177363395691,20.143143140921595,8.244683504104614
Wav2Vec2 WER,6,Q,94.04136538505554,19.893485966425313,8.241249799728394
Wav2Vec2 WER,6,R,91.6208267211914,19.556277560655808,10.772644996643066
Wav2Vec2 WER,6,S,95.71177363395691,20.136921504423476,8.727843284606934
Wav2Vec2 WER,6,T,95.71177363395691,20.2341640851518,13.092310905456543
Wav2Vec2 WER,6,V,95.38403749465942,19.895139743700685,9.607601165771484
Whisper WER,6,A,100.0,21.513839532652252,781.2249104976654
Whisper WER,6,B,93.78443360328674,20.00660337818773,45.72531175613403
Whisper WER,6,C,95.7686185836792,20.59674074276759,46.02648854255676
Whisper WER,6,D,92.3651397228241,20.1724103485649,46.155357122421265
Whisper WER,6,E,94.11900043487549,20.058093441532815,45.587658166885376
Whisper WER,6,F,93.17320585250854,19.921868456881647,46.04630470275879
Whisper WER,6,G,91.65177345275879,20.0171317511809,45.92040228843689
Whisper WER,6,H,93.4701681137085,20.28354370453336,45.592599868774414
Whisper WER,6,I,96.97040915489197,21.197966880715114,45.525749921798706
Whisper WER,6,J,95.29268145561218,20.93061536247946,45.73141121864319
Whisper WER,6,K,93.17320585250854,19.85977609538761,45.7706663608551
Whisper WER,6,L,93.17320585250854,20.371383482382388,45.68190312385559
Whisper WER,6,M,94.11900043487549,20.401037008581728,45.80440878868103
Whisper WER,6,N,92.62237548828125,20.427793145610806,46.88254261016846
Whisper WER,6,O,92.8912341594696,20.61604713183955,46.25692677497864
Whisper WER,6,P,92.8912341594696,19.9890020370637,45.661592960357666
Whisper WER,6,Q,91.00862145423889,19.79758357723089,45.339324951171875
Whisper WER,6,R,88.01404237747192,19.33252876857953,48.49588179588318
Whisper WER,6,S,95.7686185836792,20.574348574612237,45.684985399246216
Whisper WER,6,T,100.0,21.614349128329753,46.231831789016724
Whisper WER,6,V,95.29268145561218,20.7072254651111,46.02021360397339
Kaldi,7,A,99.9932050704956,0.07993820708997602,5625.998222827911
Kaldi,7,B,99.89162087440491,0.04427215589196919,664.6389575004578
Kaldi,7,C,99.97358322143555,0.079399501736628,278.1816155910492
Kaldi,7,D,99.95969533920288,0.061891158570355875,592.6197643280029
Kaldi,7,E,99.94673728942871,0.060840035261545855,913.1141872406006
Kaldi,7,F,99.9198317527771,0.05167678118595257,731.3101286888123
Kaldi,7,G,99.92692470550537,0.054820123336399525,801.7620930671692
Kaldi,7,H,99.88608360290527,0.046833123191800274,350.6843430995941
Kaldi,7,I,99.97183680534363,0.07923699866925658,251.89424204826355
Kaldi,7,J,99.9635398387909,0.06825762726632208,572.1803166866302
Kaldi,7,K,99.96766448020935,0.06348285958083963,512.5872752666473
Kaldi,7,L,99.95083212852478,0.06314159848177675,682.2941641807556
Kaldi,7,M,99.93289709091187,0.05720891842675937,614.5466940402985
Kaldi,7,N,99.96551275253296,0.06351112179387515,864.5632040500641
Kaldi,7,O,99.94397163391113,0.06065752787562012,607.8019411563873
Kaldi,7,P,99.93734359741211,0.05826571001395835,599.4811265468597
Kaldi,7,Q,99.89421367645264,0.04615493720335417,862.386218547821
Kaldi,7,R,99.96013641357422,0.06562871514714978,801.2300796508789
Kaldi,7,S,99.97140765190125,0.0711283005410704,585.124655008316
Kaldi,7,T,99.97275471687317,0.07933854329163638,332.56332659721375
Kaldi,7,V,99.97183680534363,0.07923699866925658,297.8186595439911
