benchmark,corr,p
Hubert,0.5071716379261729,0.01894234559570342
HubertToken,0.5808322732244833,0.0057623452752261104
MFCC,0.2864212773453234,0.2081206102125287
MPM,0.4360980524365758,0.0481209161599246
Pitch,0.4645535085166746,0.033864773940625675
WadaSNR,0.31012740059978067,0.17125755525539074
WeSpeaker,0.6268955298138581,0.002355815310427722
Allosaurus,0.21330683655902374,0.3532070137772979
VoiceFixer,0.17254638467229375,0.4545044508920952
Wav2Vec2 WER,0.7192868665658477,0.00023801315060977872
Whisper WER,0.5062356792075347,0.019200284629069246
Kaldi,-0.3152334610498144,0.16394789447337113
pesq,0.634604345414644,0.0020006907204787004
wvmos,0.4581325097542449,0.03674750998175294
utmos,0.9165706093652065,5.337568336530009e-09
ttsdb,0.9323866175970882,0.0005576767419651561
