system,score
C,3.4411522633744855
fastpitch_wg,3.819848975188781
fastpitch_wn,3.898706896551724
K,3.6334431630971995
N,3.1655683690280068
natural16,4.42296918767507
tacotron_wg,3.5732758620689653
tacotron_wn,3.574353448275862
