system,score
C,3.1703703703703705
fastpitch_wg,4.2157497303128375
fastpitch_wn,4.330818965517241
K,3.5782537067545306
N,3.0098846787479405
natural16,4.674603174603175
tacotron_wg,4.047413793103448
tacotron_wn,4.09375
