dataset,score
C0,0.9252982251581794
K0,0.41306748600962073
N0,0.4269064784804348
fastpitch_wg,0.47569981377653553
fastpitch_wn,0.44853219768678854
natural16,0.1898256955727096
tacotron_wg,0.6819063373064693
tacotron_wn,0.623114977906766
