system,score
C,2.216555801921656
fastpitch_wg,3.276056338028169
fastpitch_wn,3.5
K,2.969674556213018
N,2.3653846153846154
natural16,4.293859649122807
tacotron_wg,3.2382739212007503
tacotron_wn,3.3405253283302065
