dataset,score
C0,3.9298252940177916
K0,4.249979937076569
N0,4.044608824253082
fastpitch_wg,4.5243768310546875
fastpitch_wn,4.530403957366944
natural16,4.488826806545258
tacotron_wg,4.404381051063537
tacotron_wn,4.432916746139527
