benchmark,corr,p
Hubert,0.5476190476190477,0.1600256425388966
HubertToken,0.14285714285714288,0.735764859879812
MPM,0.6428571428571429,0.08555889101267318
Pitch,0.6428571428571429,0.08555889101267318
WeSpeaker,0.30952380952380953,0.4556448907375822
Wav2Vec2 WER,0.2142857142857143,0.6103444156452669
Whisper WER,-0.19047619047619052,0.6514014957024814
pesq,0.8095238095238096,0.014902667686230067
wvmos,0.7380952380952381,0.03655276105286081
utmos,0.4761904761904762,0.23293553465009798
kaldi,-0.30952380952380953,0.4556448907375822
