system,score
C,2.5209876543209875
fastpitch_wg,3.4217907227615965
fastpitch_wn,3.59375
K,3.098846787479407
N,2.662273476112026
natural16,4.090102707749766
tacotron_wg,3.3685344827586206
tacotron_wn,3.4234913793103448
