dataset,score
C0,3.6496446552872657
K0,4.1786043244600295
N0,3.8943400873243808
fastpitch_wg,4.157505412101745
fastpitch_wn,4.372906978130341
natural16,4.352651208043098
tacotron_wg,3.7053655010461806
tacotron_wn,3.796991024315357
