dataset,score
C0,1.0684830820560456
K0,1.0683773791790008
N0,1.097213977575302
fastpitch_wg,1.1427954256534576
fastpitch_wn,1.1269461381435395
natural16,4.643888473510742
tacotron_wg,1.1925369393825531
tacotron_wn,1.1856497299671174
